departure_city,destination_city,country,date_arrive,arrival_time_difference,arrival_status,airline,airline_type,cleaned_airline
Hong Kong,London,Hong Kong,2024-09-02,-19,Early,Cathay Pacific Airways,premium,Cathay Pacific Airways
New York,London,United States,2024-09-02,-43,Early,British Airways,premium,British Airways
Nairobi,London,Kenya,2024-09-02,4,Delayed,British Airways,premium,British Airways
Kuala Lumpur,London,Malaysia,2024-09-02,22,Delayed,Malaysia Airlines,premium,Malaysia Airlines
Chicago,London,United States,2024-09-02,-22,Early,United Airlines,premium,United Airlines
Singapore,London,Singapore,2024-09-02,-12,Early,Singapore Airlines,premium,Singapore Airlines
Dubai,London,United Arab Emirates,2024-09-02,-27,Early,British Airways,premium,British Airways
Accra,London,Ghana,2024-09-02,-5,Early,British Airways,premium,British Airways
Bridgetown,London,Barbados,2024-09-02,-1,Early,British Airways,premium,British Airways
Washington,London,United States,2024-09-02,-10,Early,British Airways,premium,British Airways
Bahrain,London,Bahrain,2024-09-02,7,Delayed,British Airways,premium,British Airways
Hong Kong,London,Hong Kong,2024-09-02,0,On Time,Cathay Pacific Airways,premium,Cathay Pacific Airways
New York,London,United States,2024-09-02,36,Delayed,United Airlines,premium,United Airlines
New York,London,United States,2024-09-02,-18,Early,American Airlines,premium,American Airlines
New York,London,United States,2024-09-02,-14,Early,Virgin Atlantic,premium,Virgin Atlantic
Toronto,London,Canada,2024-09-02,-16,Early,British Airways,premium,British Airways
Hong Kong,London,Hong Kong,2024-09-02,-2,Early,Cathay Pacific Airways,premium,Cathay Pacific Airways
Atlanta,London,United States,2024-09-02,-5,Early,Delta Air Lines,premium,Delta Air Lines
Dallas,London,United States,2024-09-02,0,Cancelled,American Airlines,premium,American Airlines
Doha,London,Qatar,2024-09-02,4,Delayed,Qatar Airways,premium,Qatar Airways
Tokyo,London,Japan,2024-09-02,49,Delayed,Japan Airlines,premium,Japan Airlines
Doha,London,Qatar,2024-09-02,1,Delayed,Qatar Airways,premium,Qatar Airways
Dallas,London,United States,2024-09-02,-13,Early,American Airlines,premium,American Airlines
Singapore,London,Singapore,2024-09-02,-27,Early,British Airways,premium,British Airways
Montreal,London,Canada,2024-09-02,-22,Early,Air Canada,premium,Air Canada
Boston,London,United States,2024-09-02,13,Delayed,JetBlue,budget,Jetblue
Atlanta,London,United States,2024-09-02,9,Delayed,Delta Air Lines,premium,Delta Air Lines
Chicago,London,United States,2024-09-02,-28,Early,British Airways,premium,British Airways
Sydney,London,Australia,2024-09-02,-12,Early,Qantas,premium,Qantas
Toronto,London,Canada,2024-09-02,-24,Early,Air Canada,premium,Air Canada
Hong Kong,London,Hong Kong,2024-09-02,-13,Early,British Airways,premium,British Airways
Philadelphia,London,United States,2024-09-02,121,Delayed,British Airways,premium,British Airways
Riyadh,London,Saudi Arabia,2024-09-02,-19,Early,Saudia,premium,Saudia
Detroit,London,United States,2024-09-02,-36,Early,Delta Air Lines,premium,Delta Air Lines
Washington,London,United States,2024-09-02,4,Delayed,United Airlines,premium,United Airlines
New York,London,United States,2024-09-02,-15,Early,Virgin Atlantic,premium,Virgin Atlantic
Abu Dhabi,London,United Arab Emirates,2024-09-02,-9,Early,Etihad Airways,premium,Etihad Airways
Delhi,London,India,2024-09-02,-32,Early,British Airways,premium,British Airways
Boston,London,United States,2024-09-02,-13,Early,British Airways,premium,British Airways
Hong Kong,London,Hong Kong,2024-09-02,-18,Early,British Airways,premium,British Airways
Houston,London,United States,2024-09-02,-26,Early,British Airways,premium,British Airways
Doha,London,Qatar,2024-09-02,-31,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-02,-21,Early,British Airways,premium,British Airways
Raleigh/Durham,London,United States,2024-09-02,180,Delayed,American Airlines,premium,American Airlines
San Francisco,London,United States,2024-09-02,-26,Early,United Airlines,premium,United Airlines
Mumbai,London,India,2024-09-02,-17,Early,British Airways,premium,British Airways
Bahrain,London,Bahrain,2024-09-02,-22,Early,Gulf Air,premium,Gulf Air
Seattle,London,United States,2024-09-02,-16,Early,British Airways,premium,British Airways
Boston,London,United States,2024-09-02,-24,Early,Delta Air Lines,premium,Delta Air Lines
Miami,London,United States,2024-09-02,0,Cancelled,British Airways,premium,British Airways
Dubai,London,United Arab Emirates,2024-09-02,-14,Early,Emirates,premium,Emirates
New York,London,United States,2024-09-02,-16,Early,United Airlines,premium,United Airlines
New York,London,United States,2024-09-02,-15,Early,Virgin Atlantic,premium,Virgin Atlantic
Orlando,London,United States,2024-09-02,115,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Minneapolis/Saint Paul,London,United States,2024-09-02,-33,Early,Delta Air Lines,premium,Delta Air Lines
Bangkok,London,Thailand,2024-09-02,1,Delayed,Thai Airways,premium,Thai Airways
Sao Paulo,London,Brazil,2024-09-02,-35,Early,British Airways,premium,British Airways
Mulhouse/Basel,London,France/Switzerland,2024-09-02,0,Cancelled,British Airways,premium,British Airways
Delhi,London,India,2024-09-02,-33,Early,Virgin Atlantic,premium,Virgin Atlantic
Frankfurt,London,Germany,2024-09-02,-22,Early,British Airways,premium,British Airways
Newcastle,London,United Kingdom,2024-09-02,-16,Early,British Airways,premium,British Airways
Johannesburg,London,South Africa,2024-09-02,-31,Early,British Airways,premium,British Airways
Los Angeles,London,United States,2024-09-02,14,Delayed,United Airlines,premium,United Airlines
Duesseldorf,London,Germany,2024-09-02,1,Delayed,Eurowings,budget,Eurowings
Edinburgh,London,United Kingdom,2024-09-02,-17,Early,British Airways,premium,British Airways
Hamburg,London,Germany,2024-09-02,-20,Early,British Airways,premium,British Airways
Charlotte,London,United States,2024-09-02,140,Delayed,American Airlines,premium,American Airlines
Delhi,London,India,2024-09-02,-10,Early,Air India,premium,Air India
Duesseldorf,London,Germany,2024-09-02,-20,Early,British Airways,premium,British Airways
Riyadh,London,Saudi Arabia,2024-09-02,-28,Early,Saudia,premium,Saudia
Boston,London,United States,2024-09-02,-47,Early,American Airlines,premium,American Airlines
Houston,London,United States,2024-09-02,-28,Early,United Airlines,premium,United Airlines
Amsterdam,London,Netherlands,2024-09-02,3,Delayed,British Airways,premium,British Airways
Amsterdam,London,Netherlands,2024-09-02,-12,Early,KLM - Royal Dutch Airlines,premium,Klm - Royal Dutch Airlines
Frankfurt,London,Germany,2024-09-02,-18,Early,Lufthansa,premium,Lufthansa
Bermuda,London,Bermuda,2024-09-02,26,Delayed,British Airways,premium,British Airways
New York,London,United States,2024-09-02,-39,Early,British Airways,premium,British Airways
Philadelphia,London,United States,2024-09-02,-28,Early,American Airlines,premium,American Airlines
Singapore,London,Singapore,2024-09-02,-16,Early,Singapore Airlines,premium,Singapore Airlines
Atlanta,London,United States,2024-09-02,-39,Early,Virgin Atlantic,premium,Virgin Atlantic
Buenos Aires,London,Argentina,2024-09-02,-31,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-02,0,Cancelled,American Airlines,premium,American Airlines
Geneva,London,Switzerland,2024-09-02,-19,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-02,-26,Early,American Airlines,premium,American Airlines
Nice,London,France,2024-09-02,-10,Early,Air France,premium,Air France
Zurich,London,Switzerland,2024-09-02,28,Delayed,Swiss International Airlines,premium,Swiss International Airlines
Los Angeles,London,United States,2024-09-02,-12,Early,American Airlines,premium,American Airlines
Belfast,London,United Kingdom,2024-09-02,54,Delayed,British Airways,premium,British Airways
Paris,London,France,2024-09-02,0,On Time,Air France,premium,Air France
Dublin,London,Ireland,2024-09-02,-6,Early,Aer Lingus,premium,Aer Lingus
Derry,London,United Kingdom,2024-09-02,144,Delayed,Loganair,budget,Loganair
Dallas,London,United States,2024-09-02,-28,Early,American Airlines,premium,American Airlines
New York,London,United States,2024-09-02,266,Delayed,Delta Air Lines,premium,Delta Air Lines
Hamburg,London,Germany,2024-09-02,35,Delayed,Eurowings,budget,Eurowings
Toulouse,London,France,2024-09-02,-15,Early,British Airways,premium,British Airways
Berlin,London,Germany,2024-09-02,-26,Early,British Airways,premium,British Airways
Cologne/Bonn,London,Germany,2024-09-02,27,Delayed,Eurowings,budget,Eurowings
Saint Helier,London,Jersey,2024-09-02,0,Cancelled,British Airways,premium,British Airways
Manchester,London,United Kingdom,2024-09-02,-5,Early,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-02,-29,Early,British Airways,premium,British Airways
Paris,London,France,2024-09-02,50,Delayed,British Airways,premium,British Airways
Geneva,London,Switzerland,2024-09-02,-20,Early,Swiss International Airlines,premium,Swiss International Airlines
Munich,London,Germany,2024-09-02,0,On Time,Lufthansa,premium,Lufthansa
New York,London,United States,2024-09-02,-28,Early,United Airlines,premium,United Airlines
New York,London,United States,2024-09-02,-33,Early,British Airways,premium,British Airways
Goteborg,London,Sweden,2024-09-02,-22,Early,British Airways,premium,British Airways
Nice,London,France,2024-09-02,-19,Early,British Airways,premium,British Airways
Vienna,London,Austria,2024-09-02,-27,Early,Austrian,premium,Austrian
Madrid,London,Spain,2024-09-02,-17,Early,Iberia,premium,Iberia
Stuttgart,London,Germany,2024-09-02,-11,Early,Eurowings,budget,Eurowings
Copenhagen,London,Denmark,2024-09-02,-21,Early,British Airways,premium,British Airways
Milan,London,Italy,2024-09-02,-26,Early,British Airways,premium,British Airways
Munich,London,Germany,2024-09-02,70,Delayed,British Airways,premium,British Airways
Prague,London,Czech Republic,2024-09-02,-23,Early,British Airways,premium,British Airways
Toronto,London,Canada,2024-09-02,-39,Early,Air Canada,premium,Air Canada
Aberdeen,London,United Kingdom,2024-09-02,-22,Early,British Airways,premium,British Airways
Edinburgh,London,United Kingdom,2024-09-02,16,Delayed,British Airways,premium,British Airways
Glasgow,London,United Kingdom,2024-09-02,-3,Early,British Airways,premium,British Airways
Inverness,London,United Kingdom,2024-09-02,-10,Early,British Airways,premium,British Airways
Frankfurt,London,Germany,2024-09-02,5,Delayed,Lufthansa,premium,Lufthansa
Cork,London,Ireland,2024-09-02,-2,Early,Aer Lingus,premium,Aer Lingus
Cairo,London,Egypt,2024-09-02,-6,Early,Egyptair,premium,Egyptair
Dublin,London,Ireland,2024-09-02,2,Delayed,British Airways,premium,British Airways
Miami,London,United States,2024-09-02,-20,Early,Virgin Atlantic,premium,Virgin Atlantic
Copenhagen,London,Denmark,2024-09-02,-5,Early,SAS - Scandinavian Airlines,premium,Sas - Scandinavian Airlines
Boston,London,United States,2024-09-02,-38,Early,Virgin Atlantic,premium,Virgin Atlantic
Chicago,London,United States,2024-09-02,-25,Early,American Airlines,premium,American Airlines
Chicago,London,United States,2024-09-02,-33,Early,United Airlines,premium,United Airlines
Amsterdam,London,Netherlands,2024-09-02,-21,Early,KLM - Royal Dutch Airlines,premium,Klm - Royal Dutch Airlines
Chicago,London,United States,2024-09-02,-42,Early,British Airways,premium,British Airways
Dundee,London,United Kingdom,2024-09-02,-12,Early,Loganair,budget,Loganair
Miami,London,United States,2024-09-02,24,Delayed,American Airlines,premium,American Airlines
Dublin,London,Ireland,2024-09-02,-10,Early,Aer Lingus,premium,Aer Lingus
Kigali,London,Rwanda,2024-09-02,-36,Early,RwandAir,premium,Rwandair
Shannon,London,Ireland,2024-09-02,19,Delayed,Aer Lingus,premium,Aer Lingus
Barcelona,London,Spain,2024-09-02,1,Delayed,Vueling,budget,Vueling
New York,London,United States,2024-09-02,-27,Early,British Airways,premium,British Airways
Barcelona,London,Spain,2024-09-02,-24,Early,British Airways,premium,British Airways
Helsinki,London,Finland,2024-09-02,-12,Early,Finnair,premium,Finnair
Manchester,London,United Kingdom,2024-09-02,3,Delayed,British Airways,premium,British Airways
Orlando,London,United States,2024-09-02,52,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Bologna,London,Italy,2024-09-02,-1,Early,British Airways,premium,British Airways
Budapest,London,Hungary,2024-09-02,17,Delayed,British Airways,premium,British Airways
Vienna,London,Austria,2024-09-02,-3,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-02,-20,Early,British Airways,premium,British Airways
Oslo,London,Norway,2024-09-02,-27,Early,British Airways,premium,British Airways
Warsaw,London,Poland,2024-09-02,-3,Early,LOT Polish Airlines,premium,Lot Polish Airlines
Stockholm,London,Sweden,2024-09-02,-16,Early,SAS - Scandinavian Airlines,premium,Sas - Scandinavian Airlines
Vienna,London,Austria,2024-09-02,-19,Early,Austrian,premium,Austrian
Charlotte,London,United States,2024-09-02,22,Delayed,American Airlines,premium,American Airlines
New York,London,United States,2024-09-02,-29,Early,Virgin Atlantic,premium,Virgin Atlantic
Boston,London,United States,2024-09-02,-12,Early,British Airways,premium,British Airways
Baltimore,London,United States,2024-09-02,19,Delayed,British Airways,premium,British Airways
Madrid,London,Spain,2024-09-02,-5,Early,Iberia,premium,Iberia
New York,London,United States,2024-09-02,-23,Early,JetBlue,budget,Jetblue
Venice,London,Italy,2024-09-02,-28,Early,British Airways,premium,British Airways
Austin,London,United States,2024-09-02,-26,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-02,74,Delayed,British Airways,premium,British Airways
Toronto,London,Canada,2024-09-02,-13,Early,Air Canada,premium,Air Canada
Milan,London,Italy,2024-09-02,-2,Early,British Airways,premium,British Airways
Oslo,London,Norway,2024-09-02,-4,Early,SAS - Scandinavian Airlines,premium,Sas - Scandinavian Airlines
Denver,London,United States,2024-09-02,-13,Early,United Airlines,premium,United Airlines
Frankfurt,London,Germany,2024-09-02,2,Delayed,Lufthansa,premium,Lufthansa
Glasgow,London,United Kingdom,2024-09-02,51,Delayed,British Airways,premium,British Airways
Malta,London,Malta,2024-09-02,-29,Early,KM Malta Airlines,premium,Km Malta Airlines
Montego Bay,London,Jamaica,2024-09-02,-1,Early,Virgin Atlantic,premium,Virgin Atlantic
Seattle,London,United States,2024-09-02,11,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Montreal,London,Canada,2024-09-02,-13,Early,British Airways,premium,British Airways
Stockholm,London,Sweden,2024-09-02,-14,Early,British Airways,premium,British Airways
Hannover,London,Germany,2024-09-02,-15,Early,British Airways,premium,British Airways
Istanbul,London,Turkey,2024-09-02,37,Delayed,Turkish Airlines,premium,Turkish Airlines
Munich,London,Germany,2024-09-02,107,Delayed,Lufthansa,premium,Lufthansa
New York,London,United States,2024-09-02,3,Delayed,Virgin Atlantic,premium,Virgin Atlantic
San Francisco,London,United States,2024-09-02,14,Delayed,British Airways,premium,British Airways
Montreal,London,Canada,2024-09-02,-40,Early,Air Canada,premium,Air Canada
Lisbon,London,Portugal,2024-09-02,12,Delayed,British Airways,premium,British Airways
Santiago,London,Chile,2024-09-02,-24,Early,British Airways,premium,British Airways
Rome,London,Italy,2024-09-02,163,Delayed,British Airways,premium,British Airways
Manchester,London,United Kingdom,2024-09-02,52,Delayed,British Airways,premium,British Airways
New York,London,United States,2024-09-02,-12,Early,United Airlines,premium,United Airlines
Los Angeles,London,United States,2024-09-02,-25,Early,British Airways,premium,British Airways
Toronto,London,Canada,2024-09-02,-18,Early,British Airways,premium,British Airways
Bucharest,London,Romania,2024-09-02,9,Delayed,British Airways,premium,British Airways
Warsaw,London,Poland,2024-09-02,13,Delayed,British Airways,premium,British Airways
New York,London,United States,2024-09-02,-22,Early,Delta Air Lines,premium,Delta Air Lines
Los Angeles,London,United States,2024-09-02,10,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Mumbai,London,India,2024-09-02,0,Cancelled,Air India,premium,Air India
Brussels,London,Belgium,2024-09-02,-2,Early,Brussels Airlines,premium,Brussels Airlines
Venice,London,Italy,2024-09-02,6,Delayed,British Airways,premium,British Airways
Philadelphia,London,United States,2024-09-02,-24,Early,American Airlines,premium,American Airlines
Athens,London,Greece,2024-09-02,0,Cancelled,British Airways,premium,British Airways
Dublin,London,Ireland,2024-09-02,32,Delayed,Aer Lingus,premium,Aer Lingus
Lisbon,London,Portugal,2024-09-02,17,Delayed,TAP Portugal,premium,Tap Portugal
San Francisco,London,United States,2024-09-02,-26,Early,United Airlines,premium,United Airlines
Washington,London,United States,2024-09-02,-21,Early,Virgin Atlantic,premium,Virgin Atlantic
New York,London,United States,2024-09-02,-26,Early,American Airlines,premium,American Airlines
Paris,London,France,2024-09-02,0,On Time,Air France,premium,Air France
Istanbul,London,Turkey,2024-09-02,21,Delayed,British Airways,premium,British Airways
Edinburgh,London,United Kingdom,2024-09-02,34,Delayed,British Airways,premium,British Airways
Cincinnati,London,United States,2024-09-02,-17,Early,British Airways,premium,British Airways
Denver,London,United States,2024-09-02,-28,Early,British Airways,premium,British Airways
Amsterdam,London,Netherlands,2024-09-02,-3,Early,British Airways,premium,British Airways
Madrid,London,Spain,2024-09-02,-6,Early,Iberia,premium,Iberia
Naples,London,Italy,2024-09-02,3,Delayed,British Airways,premium,British Airways
Washington,London,United States,2024-09-02,-1,Early,United Airlines,premium,United Airlines
Frankfurt,London,Germany,2024-09-02,6,Delayed,Lufthansa,premium,Lufthansa
Dallas,London,United States,2024-09-02,-4,Early,British Airways,premium,British Airways
Amsterdam,London,Netherlands,2024-09-02,-11,Early,KLM - Royal Dutch Airlines,premium,Klm - Royal Dutch Airlines
Bengaluru,London,India,2024-09-02,78,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Chicago,London,United States,2024-09-02,-34,Early,American Airlines,premium,American Airlines
Dublin,London,Ireland,2024-09-02,9,Delayed,British Airways,premium,British Airways
Saint Helier,London,Jersey,2024-09-02,31,Delayed,British Airways,premium,British Airways
Newcastle,London,United Kingdom,2024-09-02,-7,Early,British Airways,premium,British Airways
Miami,London,United States,2024-09-02,5,Delayed,American Airlines,premium,American Airlines
Aberdeen,London,United Kingdom,2024-09-02,7,Delayed,British Airways,premium,British Airways
Paris,London,France,2024-09-02,3,Delayed,British Airways,premium,British Airways
Edinburgh,London,United Kingdom,2024-09-02,16,Delayed,British Airways,premium,British Airways
Glasgow,London,United Kingdom,2024-09-02,-7,Early,British Airways,premium,British Airways
Geneva,London,Switzerland,2024-09-02,-2,Early,British Airways,premium,British Airways
Larnaca,London,Cyprus,2024-09-02,0,On Time,British Airways,premium,British Airways
Dallas,London,United States,2024-09-02,142,Delayed,American Airlines,premium,American Airlines
Brussels,London,Belgium,2024-09-02,5,Delayed,British Airways,premium,British Airways
Boston,London,United States,2024-09-02,-35,Early,Virgin Atlantic,premium,Virgin Atlantic
Atlanta,London,United States,2024-09-02,-5,Early,Delta Air Lines,premium,Delta Air Lines
New York,London,United States,2024-09-02,-22,Early,United Airlines,premium,United Airlines
Dublin,London,Ireland,2024-09-02,4,Delayed,Aer Lingus,premium,Aer Lingus
Washington,London,United States,2024-09-02,-25,Early,British Airways,premium,British Airways
New York,London,United States,2024-09-02,-4,Early,British Airways,premium,British Airways
Chicago,London,United States,2024-09-02,3,Delayed,British Airways,premium,British Airways
Athens,London,Greece,2024-09-02,-6,Early,Aegean Airlines,premium,Aegean Airlines
Beirut,London,Lebanon,2024-09-02,11,Delayed,MEA,premium,Mea
Belfast,London,United Kingdom,2024-09-02,8,Delayed,British Airways,premium,British Airways
San Francisco,London,United States,2024-09-02,-8,Early,Virgin Atlantic,premium,Virgin Atlantic
Isle of Man,London,Isle of Man,2024-09-02,-5,Early,Loganair,budget,Loganair
Los Angeles,London,United States,2024-09-02,-17,Early,United Airlines,premium,United Airlines
Cologne/Bonn,London,Germany,2024-09-02,-1,Early,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-02,21,Delayed,Swiss International Airlines,premium,Swiss International Airlines
Los Angeles,London,United States,2024-09-02,-23,Early,British Airways,premium,British Airways
Cairo,London,Egypt,2024-09-02,-5,Early,British Airways,premium,British Airways
Delhi,London,India,2024-09-02,-10,Early,Air India,premium,Air India
Duesseldorf,London,Germany,2024-09-02,60,Delayed,Eurowings,budget,Eurowings
Frankfurt,London,Germany,2024-09-02,38,Delayed,British Airways,premium,British Airways
Houston,London,United States,2024-09-02,53,Delayed,United Airlines,premium,United Airlines
Kingstown,London,Saint Vincent and the Grenadines,2024-09-02,0,On Time,Virgin Atlantic,premium,Virgin Atlantic
Hamburg,London,Germany,2024-09-02,9,Delayed,British Airways,premium,British Airways
Prague,London,Czech Republic,2024-09-02,17,Delayed,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-02,-7,Early,British Airways,premium,British Airways
Atlanta,London,United States,2024-09-02,-11,Early,British Airways,premium,British Airways
Nashville,London,United States,2024-09-02,21,Delayed,British Airways,premium,British Airways
Providenciales,London,Turks and Caicos Islands,2024-09-02,15,Delayed,British Airways,premium,British Airways
Chicago,London,United States,2024-09-02,2,Delayed,United Airlines,premium,United Airlines
Calgary,London,Canada,2024-09-02,-18,Early,Air Canada,premium,Air Canada
Toronto,London,Canada,2024-09-02,-17,Early,Air Canada,premium,Air Canada
Reykjavik,London,Iceland,2024-09-02,10,Delayed,Icelandair,premium,Icelandair
San Diego,London,United States,2024-09-02,-25,Early,British Airways,premium,British Airways
Amman,London,Jordan,2024-09-02,-17,Early,British Airways,premium,British Airways
Barcelona,London,Spain,2024-09-02,-9,Early,British Airways,premium,British Airways
Edinburgh,London,United Kingdom,2024-09-02,36,Delayed,British Airways,premium,British Airways
Chennai,London,India,2024-09-02,9,Delayed,British Airways,premium,British Airways
Calgary,London,Canada,2024-09-02,-5,Early,WestJet,premium,Westjet
Amsterdam,London,Netherlands,2024-09-02,76,Delayed,British Airways,premium,British Airways
Copenhagen,London,Denmark,2024-09-02,14,Delayed,British Airways,premium,British Airways
Marseille,London,France,2024-09-02,-7,Early,British Airways,premium,British Airways
Munich,London,Germany,2024-09-02,94,Delayed,British Airways,premium,British Airways
Charlotte,London,United States,2024-09-02,3,Delayed,American Airlines,premium,American Airlines
Houston,London,United States,2024-09-02,136,Delayed,British Airways,premium,British Airways
Berlin,London,Germany,2024-09-02,-13,Early,British Airways,premium,British Airways
Glasgow,London,United Kingdom,2024-09-02,6,Delayed,British Airways,premium,British Airways
Phoenix,London,United States,2024-09-02,-37,Early,American Airlines,premium,American Airlines
Tampa,London,United States,2024-09-02,-21,Early,Virgin Atlantic,premium,Virgin Atlantic
Milan,London,Italy,2024-09-02,19,Delayed,British Airways,premium,British Airways
New York,London,United States,2024-09-02,-35,Early,Virgin Atlantic,premium,Virgin Atlantic
Denver,London,United States,2024-09-02,-9,Early,United Airlines,premium,United Airlines
Dublin,London,Ireland,2024-09-02,4,Delayed,British Airways,premium,British Airways
Hannover,London,Germany,2024-09-02,-6,Early,British Airways,premium,British Airways
Manchester,London,United Kingdom,2024-09-02,7,Delayed,British Airways,premium,British Airways
Toulouse,London,France,2024-09-02,-14,Early,British Airways,premium,British Airways
Dubai,London,United Arab Emirates,2024-09-02,-1,Early,Emirates,premium,Emirates
Luxembourg,London,Luxembourg,2024-09-02,-8,Early,British Airways,premium,British Airways
Paris,London,France,2024-09-02,-9,Early,British Airways,premium,British Airways
Istanbul,London,Turkey,2024-09-02,27,Delayed,Turkish Airlines,premium,Turkish Airlines
Lyon,London,France,2024-09-02,-12,Early,British Airways,premium,British Airways
Belgrade,London,Serbia,2024-09-02,32,Delayed,Air Serbia,premium,Air Serbia
Miami,London,United States,2024-09-02,6,Delayed,Virgin Atlantic,premium,Virgin Atlantic
Dublin,London,Ireland,2024-09-02,-3,Early,Aer Lingus,premium,Aer Lingus
Frankfurt,London,Germany,2024-09-02,46,Delayed,Lufthansa,premium,Lufthansa
Chicago,London,United States,2024-09-02,140,Delayed,American Airlines,premium,American Airlines
Portland,London,United States,2024-09-02,-6,Early,British Airways,premium,British Airways
Abu Dhabi,London,United Arab Emirates,2024-09-02,-13,Early,Etihad Airways,premium,Etihad Airways
Geneva,London,Switzerland,2024-09-02,2,Delayed,British Airways,premium,British Airways
Lisbon,London,Portugal,2024-09-02,8,Delayed,TAP Portugal,premium,Tap Portugal
Los Angeles,London,United States,2024-09-02,-6,Early,American Airlines,premium,American Airlines
Munich,London,Germany,2024-09-02,63,Delayed,Lufthansa,premium,Lufthansa
Mulhouse/Basel,London,France/Switzerland,2024-09-02,0,Cancelled,British Airways,premium,British Airways
Stockholm,London,Sweden,2024-09-02,-3,Early,SAS - Scandinavian Airlines,premium,Sas - Scandinavian Airlines
Seattle,London,United States,2024-09-02,-1,Early,British Airways,premium,British Airways
Doha,London,Qatar,2024-09-02,-22,Early,British Airways,premium,British Airways
Rome,London,Italy,2024-09-02,19,Delayed,British Airways,premium,British Airways
Vienna,London,Austria,2024-09-02,10,Delayed,British Airways,premium,British Airways
Zurich,London,Switzerland,2024-09-02,1,Delayed,Swiss International Airlines,premium,Swiss International Airlines
Aberdeen,London,United Kingdom,2024-09-02,0,Cancelled,British Airways,premium,British Airways
Malaga,London,Spain,2024-09-02,-19,Early,British Airways,premium,British Airways
Bengaluru,London,India,2024-09-02,-23,Early,British Airways,premium,British Airways
Cork,London,Ireland,2024-09-02,4,Delayed,Aer Lingus,premium,Aer Lingus
Stuttgart,London,Germany,2024-09-02,29,Delayed,British Airways,premium,British Airways
Edinburgh,London,United Kingdom,2024-09-02,68,Delayed,British Airways,premium,British Airways
Islamabad,London,Pakistan,2024-09-02,-15,Early,British Airways,premium,British Airways
Nice,London,France,2024-09-02,12,Delayed,British Airways,premium,British Airways
Newcastle,London,United Kingdom,2024-09-02,1,Delayed,British Airways,premium,British Airways
Oslo,London,Norway,2024-09-02,-12,Early,British Airways,premium,British Airways
Stockholm,London,Sweden,2024-09-02,-11,Early,British Airways,premium,British Airways
Doha,London,Qatar,2024-09-02,-10,Early,Qatar Airways,premium,Qatar Airways
Derry,London,United Kingdom,2024-09-02,78,Delayed,Loganair,budget,Loganair
Atlanta,London,United States,2024-09-02,-24,Early,Delta Air Lines,premium,Delta Air Lines
Vancouver,London,Canada,2024-09-02,-2,Early,Air Canada,premium,Air Canada
Hyderabad,London,India,2024-09-02,-7,Early,British Airways,premium,British Airways
Dublin,London,Ireland,2024-09-02,29,Delayed,Aer Lingus,premium,Aer Lingus
Kuwait,London,Kuwait,2024-09-02,-18,Early,British Airways,premium,British Airways
Los Angeles,London,United States,2024-09-02,-14,Early,Virgin Atlantic,premium,Virgin Atlantic
Bologna,London,Italy,2024-09-02,13,Delayed,British Airways,premium,British Airways
Madrid,London,Spain,2024-09-02,-5,Early,British Airways,premium,British Airways
Split,London,Croatia,2024-09-02,7,Delayed,British Airways,premium,British Airways
Paris,London,France,2024-09-02,22,Delayed,Vueling,budget,Vueling
Phoenix,London,United States,2024-09-02,-20,Early,British Airways,premium,British Airways
Berlin,London,Germany,2024-09-02,6,Delayed,British Airways,premium,British Airways
Cairo,London,Egypt,2024-09-02,-4,Early,Egyptair,premium,Egyptair
Tel Aviv-Yafo,London,Israel,2024-09-02,3,Delayed,El Al,premium,El Al
Warsaw,London,Poland,2024-09-02,-12,Early,British Airways,premium,British Airways
Belfast,London,United Kingdom,2024-09-02,49,Delayed,British Airways,premium,British Airways
Geneva,London,Switzerland,2024-09-02,2,Delayed,Swiss International Airlines,premium,Swiss International Airlines
Paris,London,France,2024-09-02,-12,Early,Air France,premium,Air France
Geneva,London,Switzerland,2024-09-02,2,Delayed,British Airways,premium,British Airways
Lisbon,London,Portugal,2024-09-02,-10,Early,British Airways,premium,British Airways
San Francisco,London,United States,2024-09-02,-21,Early,British Airways,premium,British Airways
Amsterdam,London,Netherlands,2024-09-02,42,Delayed,KLM - Royal Dutch Airlines,premium,Klm - Royal Dutch Airlines
Pisa,London,Italy,2024-09-02,20,Delayed,British Airways,premium,British Airways
Stuttgart,London,Germany,2024-09-02,10,Delayed,Eurowings,budget,Eurowings
Dublin,London,Ireland,2024-09-02,-4,Early,Aer Lingus,premium,Aer Lingus
Los Angeles,London,United States,2024-09-02,8,Delayed,British Airways,premium,British Airways
Gibraltar,London,United Kingdom,2024-09-02,-2,Early,British Airways,premium,British Airways
Valencia,London,Spain,2024-09-02,-4,Early,British Airways,premium,British Airways
